Type,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB,Unnamed: 76,D/t,Compression,Flexure,unit_price
HSS,HSS355.6X7.9,67.9,8060,–,–,–,–,356.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,123.0,896.0,690.0,123.0,123.0,896.0,690.0,123.0,–,–,–,245000,–,1380.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,48.1,NS,NC,2950
HSS,HSS355.6X6.4,54.7,6520,–,–,–,–,356.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,99.5,724.0,559.0,124.0,99.5,724.0,559.0,124.0,–,–,–,199000,–,1120.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,60.1,NS,NC,2950
HSS,HSS323.9X12.7,97.4,11500,–,–,–,–,324.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,141.0,1150.0,872.0,110.0,141.0,1150.0,872.0,110.0,–,–,–,282000,–,1740.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,27.4,NS,C,2950
HSS,HSS323.9X9.5,73.8,8770,–,–,–,–,324.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,109.0,880.0,672.0,112.0,109.0,880.0,672.0,112.0,–,–,–,218000,–,1350.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,36.5,NS,C,2950
HSS,HSS323.9X6.4,49.7,5910,–,–,–,–,324.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,74.9,598.0,462.0,113.0,74.9,598.0,462.0,113.0,–,–,–,149000,–,923.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,54.7,NS,NC,2950
HSS,HSS273.1X12.7,81.5,9680,–,–,–,–,273.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,82.8,806.0,606.0,92.5,82.8,806.0,606.0,92.5,–,–,–,166000,–,1210.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,23.1,NS,C,2950
HSS,HSS273.1X9.5,61.9,7350,–,–,–,–,273.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,64.1,619.0,470.0,93.5,64.1,619.0,470.0,93.5,–,–,–,129000,–,941.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,30.8,NS,C,2950
HSS,HSS273.1X6.4,41.8,4970,–,–,–,–,273.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,44.1,423.0,324.0,94.5,44.1,423.0,324.0,94.5,–,–,–,88700,–,649.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,46.1,NS,NC,2950
HSS,HSS254X15.9,93.2,11100,–,–,–,–,254.0,–,–,–,–,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,–,–,79.5,846.0,628.0,84.8,79.5,846.0,628.0,84.8,–,–,–,159000,–,1260.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,17.2,NS,C,2950
HSS,HSS254X12.7,75.6,8970,–,–,–,–,254.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,66.2,693.0,519.0,85.9,66.2,693.0,519.0,85.9,–,–,–,132000,–,1040.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,21.5,NS,C,2950
HSS,HSS254X9.5,57.4,6840,–,–,–,–,254.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,51.2,533.0,405.0,86.6,51.2,533.0,405.0,86.6,–,–,–,103000,–,808.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,28.7,NS,C,2950
HSS,HSS254X7.9,48.1,5730,–,–,–,–,254.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,43.7,449.0,342.0,87.1,43.7,449.0,342.0,87.1,–,–,–,87000,–,687.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,34.4,NS,C,2950
HSS,HSS254X6.4,38.8,4610,–,–,–,–,254.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,35.5,364.0,280.0,87.6,35.5,364.0,280.0,87.6,–,–,–,71200,–,559.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,42.9,NS,NC,2950
HSS,HSS254X4.8,29.3,3460,–,–,–,–,254.0,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,27.0,275.0,213.0,88.1,27.0,275.0,213.0,88.1,–,–,–,54100,–,424.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,57.5,NS,NC,2950
HSS,HSS244.5X12.7,72.6,8650,–,–,–,–,244.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,58.7,639.0,479.0,82.3,58.7,639.0,479.0,82.3,–,–,–,117000,–,959.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,20.7,NS,C,2950
HSS,HSS244.5X9.5,55.2,6580,–,–,–,–,244.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,45.8,492.0,374.0,83.3,45.8,492.0,374.0,83.3,–,–,–,91200,–,746.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,27.6,NS,C,2950
HSS,HSS244.5X7.9,46.2,5500,–,–,–,–,244.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,38.7,416.0,316.0,83.8,38.7,416.0,316.0,83.8,–,–,–,77400,–,634.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,33.1,NS,C,2950
HSS,HSS244.5X6.4,37.3,4430,–,–,–,–,244.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,31.6,338.0,259.0,84.3,31.6,338.0,259.0,84.3,–,–,–,63300,–,516.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,41.3,NS,NC,2950
HSS,HSS244.5X4.8,28.2,3340,–,–,–,–,244.0,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,24.0,254.0,197.0,84.8,24.0,254.0,197.0,84.8,–,–,–,47900,–,393.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,55.3,NS,NC,2950
HSS,HSS219.1X15.9,79.5,9480,–,–,–,–,219.0,–,–,–,–,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,–,–,49.5,618.0,454.0,72.4,49.5,618.0,454.0,72.4,–,–,–,99500,–,908.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,14.8,NS,C,2950
HSS,HSS219.1X12.7,64.6,7680,–,–,–,–,219.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,41.6,508.0,379.0,73.4,41.6,508.0,379.0,73.4,–,–,–,82800,–,757.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,18.5,NS,C,2950
HSS,HSS219.1X9.5,49.2,5850,–,–,–,–,219.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,32.4,392.0,295.0,74.4,32.4,392.0,295.0,74.4,–,–,–,64900,–,592.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,24.7,NS,C,2950
HSS,HSS219.1X8.2,42.5,5060,–,–,–,–,219.0,–,–,–,–,–,–,–,–,–,–,–,8.18,7.62,–,–,–,–,–,–,–,–,–,–,–,–,–,28.3,341.0,259.0,74.9,28.3,341.0,259.0,74.9,–,–,–,56600,–,518.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,28.8,NS,C,2950
HSS,HSS219.1X6.4,33.3,3960,–,–,–,–,219.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,22.5,269.0,205.0,75.4,22.5,269.0,205.0,75.4,–,–,–,45000,–,411.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,37.0,NS,C,2950
HSS,HSS219.1X4.8,25.2,2980,–,–,–,–,219.0,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,17.2,203.0,157.0,75.9,17.2,203.0,157.0,75.9,–,–,–,34300,–,313.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,49.6,NS,NC,2950
HSS,HSS193.7X9.5,43.2,5150,–,–,–,–,194.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,22.0,303.0,228.0,65.5,22.0,303.0,228.0,65.5,–,–,–,44100,–,456.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,21.8,NS,C,2950
