Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/tdes,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB,Unnamed: 77,b/t,h/t,Flange Compression,Web Compression,Flange Flexure,Web Flexure,unit_price
W,W36X150,W920X223,223.0,28600,912,911,–,–,–,305,305,–,–,–,15.9,15.9,7.94,23.9,23.8,–,–,–,42.9,47.6,28.6,–,–,–,–,–,6.37,–,51.9,–,–,3760.0,9520.0,8260.0,363.0,112.0,1160.0,739.0,62.7,–,–,–,4200.0,22100.0,–,67700,122.0,–,–,1530.0,4700.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,77.7,889,2670,2970,,6.37,51.9,NS,S,C,C,2950
W,W36X135,W920X201,201.0,25700,904,902,–,–,–,305,305,–,–,–,15.2,15.9,7.94,20.1,20.6,–,–,–,39.1,42.9,28.6,–,–,–,–,–,7.56,–,54.1,–,–,3250.0,8340.0,7190.0,356.0,93.7,978.0,618.0,60.5,–,–,–,2910.0,18300.0,–,67100,102.0,–,–,1280.0,4110.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.9,884,2670,2970,,7.56,54.1,NS,S,C,C,2950
W,W33X387,W840X576,576.0,73500,914,914,–,–,–,411,413,–,–,–,32.0,31.8,15.9,57.9,57.2,–,–,–,78.0,81.0,36.5,–,–,–,–,–,3.55,–,23.7,–,–,10100.0,25600.0,22100.0,371.0,674.0,5110.0,3280.0,95.8,–,–,–,61600.0,123000.0,–,88400,524.0,–,–,4700.0,12700.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,114.0,856,2970,3380,,3.55,23.7,NS,NS,C,C,2950
W,W33X354,W840X527,527.0,67100,904,902,–,–,–,409,410,–,–,–,29.5,30.2,15.9,53.1,52.4,–,–,–,73.2,74.6,34.9,–,–,–,–,–,3.85,–,25.7,–,–,9160.0,23300.0,20300.0,368.0,608.0,4620.0,2970.0,95.0,–,–,–,47900.0,110000.0,–,87100,470.0,–,–,4290.0,11600.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,113.0,851,2950,3350,,3.85,25.7,NS,NS,C,C,2950
W,W33X318,W840X473,473.0,60500,894,892,–,–,–,406,406,–,–,–,26.4,27.0,14.3,48.0,47.6,–,–,–,68.1,69.9,33.3,–,–,–,–,–,4.23,–,28.7,–,–,8120.0,20800.0,18200.0,368.0,537.0,4100.0,2640.0,94.2,–,–,–,35100.0,95900.0,–,85800,420.0,–,–,3850.0,10400.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112.0,846,2920,3330,,4.23,28.7,NS,NS,C,C,2950
W,W33X291,W840X433,433.0,55200,884,886,–,–,–,404,403,–,–,–,24.4,23.8,12.7,43.9,44.4,–,–,–,64.0,66.7,33.3,–,–,–,–,–,4.6,–,31.0,–,–,7370.0,19000.0,16700.0,366.0,483.0,3700.0,2390.0,93.5,–,–,–,27100.0,85700.0,–,84500,376.0,–,–,3510.0,9390.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110.0,841,2900,3300,,4.6,31.0,NS,NS,C,C,2950
W,W33X263,W840X392,392.0,49900,876,876,–,–,–,401,400,–,–,–,22.1,22.2,11.1,39.9,39.7,–,–,–,59.9,61.9,31.8,–,–,–,–,–,5.03,–,34.3,–,–,6620.0,17000.0,15100.0,363.0,433.0,3310.0,2150.0,93.0,–,–,–,20300.0,75500.0,–,83900,336.0,–,–,3160.0,8440.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109.0,836,2870,3280,,5.03,34.3,NS,NS,C,C,2950
W,W33X241,W840X359,359.0,45900,869,867,–,–,–,404,403,–,–,–,21.1,20.6,11.1,35.6,34.9,–,–,–,55.6,57.2,31.8,–,–,–,–,–,5.66,–,35.9,–,–,5910.0,15400.0,13600.0,358.0,388.0,2980.0,1930.0,91.9,–,–,–,15100.0,67400.0,–,83900,302.0,–,–,2830.0,7650.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109.0,833,2870,3280,,5.66,35.9,NS,S,C,C,2950
W,W33X221,W840X329,329.0,42100,861,860,–,–,–,401,400,–,–,–,19.7,19.0,9.52,32.5,31.8,–,–,–,52.3,54.0,30.2,–,–,–,–,–,6.2,–,38.5,–,–,5370.0,14000.0,12400.0,358.0,350.0,2690.0,1740.0,91.2,–,–,–,11600.0,60200.0,–,83200,269.0,–,–,2560.0,6930.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108.0,828,2840,3250,,6.2,38.5,NS,S,C,C,2950
W,W33X201,W840X299,299.0,38100,856,854,–,–,–,399,400,–,–,–,18.2,17.5,9.52,29.2,28.6,–,–,–,49.3,50.8,30.2,–,–,–,–,–,6.85,–,41.7,–,–,4830.0,12700.0,11200.0,356.0,312.0,2410.0,1560.0,90.4,–,–,–,8660.0,53200.0,–,82600,240.0,–,–,2290.0,6260.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107.0,828,2820,3230,,6.85,41.7,NS,S,C,C,2950
W,W33X169,W840X251,251.0,31900,859,860,–,–,–,292,292,–,–,–,17.0,17.5,9.52,31.0,31.8,–,–,–,48.8,54.0,30.2,–,–,–,–,–,4.71,–,44.7,–,–,3870.0,10300.0,9000.0,348.0,129.0,1380.0,883.0,63.5,–,–,–,7370.0,22100.0,–,60500,137.0,–,–,1770.0,5100.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,77.0,828,2530,2820,,4.71,44.7,NS,S,C,C,2950
W,W33X152,W840X226,226.0,29000,851,851,–,–,–,295,295,–,–,–,16.1,15.9,7.94,26.9,27.0,–,–,–,44.7,49.2,28.6,–,–,–,–,–,5.48,–,47.2,–,–,3400.0,9160.0,7980.0,343.0,114.0,1210.0,773.0,62.7,–,–,–,5160.0,19300.0,–,60700,120.0,–,–,1550.0,4560.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,76.5,823,2520,2820,,5.48,47.2,NS,S,C,C,2950
W,W33X141,W840X210,210.0,26800,846,845,–,–,–,292,292,–,–,–,15.4,15.9,7.94,24.4,23.8,–,–,–,42.2,46.0,28.6,–,–,–,–,–,6.01,–,49.6,–,–,3100.0,8420.0,7340.0,340.0,102.0,1100.0,700.0,61.7,–,–,–,4040.0,17300.0,–,60000,107.0,–,–,1390.0,4150.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.7,820,2500,2790,,6.01,49.6,NS,S,C,C,2950
W,W33X130,W840X193,193.0,24700,841,841,–,–,–,292,292,–,–,–,14.7,14.3,7.94,21.7,22.2,–,–,–,39.6,44.5,28.6,–,–,–,–,–,6.73,–,51.7,–,–,2790.0,7650.0,6650.0,335.0,90.7,975.0,621.0,60.7,–,–,–,3070.0,15200.0,–,59800,94.9,–,–,1230.0,3770.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,74.7,818,2500,2790,,6.73,51.7,NS,S,C,C,2950
W,W33X118,W840X176,176.0,22400,836,835,–,–,–,292,292,–,–,–,14.0,14.3,7.94,18.8,19.0,–,–,–,36.6,41.3,28.6,–,–,–,–,–,7.76,–,54.5,–,–,2460.0,6800.0,5880.0,330.0,77.8,841.0,534.0,58.9,–,–,–,2210.0,13000.0,–,59700,82.0,–,–,1070.0,3360.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,73.4,818,2480,2770,,7.76,54.5,NS,S,C,C,2950
W,W30X391,W760X582,582.0,74200,843,845,–,–,–,396,397,–,–,–,34.5,34.9,17.5,62.0,61.9,–,–,–,82.0,85.7,38.1,–,–,–,–,–,3.19,–,19.7,–,–,8620.0,23800.0,20500.0,340.0,645.0,5080.0,3240.0,93.2,–,–,–,72000.0,98300.0,–,77400,475.0,–,–,4380.0,11800.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,111.0,782,2770,3180,,3.19,19.7,NS,NS,C,C,2950
W,W30X357,W760X531,531.0,67700,833,832,–,–,–,394,394,–,–,–,31.5,31.8,15.9,56.9,57.2,–,–,–,77.0,79.4,36.5,–,–,–,–,–,3.45,–,21.6,–,–,7780.0,21600.0,18700.0,338.0,579.0,4570.0,2930.0,92.5,–,–,–,55800.0,87000.0,–,76100,429.0,–,–,4000.0,10700.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,109.0,777,2740,3150,,3.45,21.6,NS,NS,C,C,2950
W,W30X326,W760X484,484.0,61900,823,822,–,–,–,391,391,–,–,–,29.0,28.6,14.3,52.1,52.4,–,–,–,72.1,74.6,34.9,–,–,–,–,–,3.75,–,23.4,–,–,6990.0,19500.0,17000.0,335.0,516.0,4130.0,2650.0,91.4,–,–,–,42900.0,77100.0,–,75500,384.0,–,–,3640.0,9720.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108.0,772,2740,3120,,3.75,23.4,NS,NS,C,C,2950
W,W30X292,W760X434,434.0,55500,813,813,–,–,–,389,387,–,–,–,25.9,25.4,12.7,47.0,47.6,–,–,–,67.1,69.9,33.3,–,–,–,–,–,4.12,–,26.2,–,–,6200.0,17400.0,15200.0,335.0,458.0,3650.0,2360.0,90.9,–,–,–,31300.0,67100.0,–,74200,340.0,–,–,3260.0,8670.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107.0,767,2720,3100,,4.12,26.2,NS,NS,C,C,2950
W,W30X261,W760X389,389.0,49700,803,803,–,–,–,386,384,–,–,–,23.6,23.8,12.7,41.9,41.3,–,–,–,62.0,65.1,33.3,–,–,–,–,–,4.59,–,28.7,–,–,5450.0,15500.0,13600.0,333.0,399.0,3210.0,2080.0,89.7,–,–,–,22500.0,57700.0,–,73500,297.0,–,–,2880.0,7690.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106.0,762,2690,3070,,4.59,28.7,NS,NS,C,C,2950
W,W30X235,W760X350,350.0,44700,795,794,–,–,–,384,381,–,–,–,21.1,20.6,11.1,38.1,38.1,–,–,–,58.2,60.3,31.8,–,–,–,–,–,5.02,–,32.2,–,–,4870.0,13900.0,12300.0,330.0,356.0,2870.0,1870.0,89.2,–,–,–,16800.0,51000.0,–,72300,265.0,–,–,2610.0,6900.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105.0,757,2670,3050,,5.02,32.2,NS,NS,C,C,2950
W,W30X211,W760X314,314.0,40200,785,787,–,–,–,384,384,–,–,–,19.7,19.0,9.52,33.5,33.3,–,–,–,53.3,57.2,30.2,–,–,–,–,–,5.74,–,34.5,–,–,4290.0,12300.0,10900.0,328.0,315.0,2540.0,1640.0,88.6,–,–,–,11800.0,44600.0,–,72300,231.0,–,–,2290.0,6100.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,104.0,752,2640,3020,,5.74,34.5,NS,NS,C,C,2950
W,W30X191,W760X284,284.0,36200,780,778,–,–,–,381,381,–,–,–,18.0,17.5,9.52,30.2,30.2,–,–,–,50.0,52.4,30.2,–,–,–,–,–,6.35,–,37.7,–,–,3830.0,11100.0,9830.0,325.0,280.0,2260.0,1470.0,87.9,–,–,–,8740.0,39200.0,–,71600,206.0,–,–,2050.0,5490.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,103.0,749,2640,3020,,6.35,37.7,NS,S,C,C,2950
W,W30X173,W760X257,257.0,32800,772,775,–,–,–,381,381,–,–,–,16.6,15.9,7.94,27.2,27.0,–,–,–,47.0,50.8,28.6,–,–,–,–,–,7.04,–,40.8,–,–,3430.0,9950.0,8870.0,323.0,249.0,2020.0,1310.0,86.9,–,–,–,6490.0,34600.0,–,71000,184.0,–,–,1850.0,4930.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102.0,744,2620,3000,,7.04,40.8,NS,S,C,C,2950
W,W30X148,W760X220,220.0,28100,780,778,–,–,–,267,267,–,–,–,16.5,15.9,7.94,30.0,30.2,–,–,–,46.5,52.4,28.6,–,–,–,–,–,4.44,–,41.6,–,–,2780.0,8190.0,7140.0,315.0,94.5,1110.0,710.0,57.9,–,–,–,6040.0,13300.0,–,50000,99.9,–,–,1410.0,4060.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,70.4,749,2300,2570,,4.44,41.6,NS,S,C,C,2950
W,W30X132,W760X196,196.0,25000,770,768,–,–,–,267,267,–,–,–,15.6,15.9,7.94,25.4,25.4,–,–,–,41.9,47.6,28.6,–,–,–,–,–,5.27,–,43.9,–,–,2400.0,7160.0,6230.0,310.0,81.6,957.0,610.0,57.2,–,–,–,4050.0,11300.0,–,49600,84.1,–,–,1190.0,3520.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,69.8,744,2270,2540,,5.27,43.9,NS,S,C,C,2950
W,W30X124,W760X185,185.0,23500,767,765,–,–,–,267,267,–,–,–,14.9,14.3,7.94,23.6,23.8,–,–,–,40.1,46.0,28.6,–,–,–,–,–,5.65,–,46.2,–,–,2230.0,6690.0,5820.0,307.0,75.3,885.0,564.0,56.6,–,–,–,3330.0,10400.0,–,49500,78.3,–,–,1110.0,3310.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,69.3,744,2270,2540,,5.65,46.2,NS,S,C,C,2950
W,W30X116,W760X173,173.0,22100,762,762,–,–,–,267,267,–,–,–,14.4,14.3,7.94,21.6,22.2,–,–,–,38.1,44.5,28.6,–,–,–,–,–,6.17,–,47.8,–,–,2050.0,6190.0,5390.0,305.0,68.3,806.0,513.0,55.6,–,–,–,2680.0,9370.0,–,49400,71.2,–,–,1010.0,3060.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,68.6,742,2270,2530,,6.17,47.8,NS,S,C,C,2950
W,W30X108,W760X161,161.0,20500,757,759,–,–,–,267,267,–,–,–,13.8,14.3,7.94,19.3,19.0,–,–,–,35.8,42.9,28.6,–,–,–,–,–,6.89,–,49.6,–,–,1860.0,5670.0,4900.0,302.0,60.8,719.0,457.0,54.6,–,–,–,2080.0,8300.0,–,49200,63.3,–,–,900.0,2790.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,67.8,737,2260,2520,,6.89,49.6,NS,S,C,C,2950
W,W30X99,W760X147,147.0,18700,754,752,–,–,–,267,267,–,–,–,13.2,12.7,6.35,17.0,17.5,–,–,–,33.5,39.7,27.0,–,–,–,–,–,7.8,–,51.9,–,–,1660.0,5110.0,4410.0,297.0,53.3,633.0,401.0,53.3,–,–,–,1570.0,7200.0,–,49200,55.8,–,–,795.0,2520.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,66.5,737,2250,2520,,7.8,51.9,NS,S,C,C,2950
W,W30X90,W760X134,134.0,17000,749,749,–,–,–,264,264,–,–,–,11.9,12.7,6.35,15.5,15.9,–,–,–,32.0,38.1,27.0,–,–,–,–,–,8.52,–,57.5,–,–,1500.0,4640.0,4010.0,297.0,47.9,569.0,362.0,53.1,–,–,–,1180.0,6440.0,–,48500,49.5,–,–,716.0,2280.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,66.0,734,2240,2500,,8.52,57.5,NS,S,C,C,2950
W,W27X539,W690X802,802.0,103000,826,826,–,–,–,389,387,–,–,–,50.0,50.8,25.4,89.9,90.5,–,–,–,110.0,113.0,46.0,–,–,–,–,–,2.15,–,12.1,–,–,10700.0,31000.0,25700.0,323.0,878.0,7160.0,4540.0,92.7,–,–,–,206000.0,119000.0,–,71600,624.0,–,–,5600.0,15500.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112.0,737,2690,3070,,2.15,12.1,NS,NS,C,C,2950
W,W27X368,W690X548,548.0,70300,772,772,–,–,–,373,371,–,–,–,35.1,34.9,17.5,63.0,63.5,–,–,–,83.1,85.7,38.1,–,–,–,–,–,2.96,–,17.3,–,–,6740.0,20300.0,17400.0,310.0,545.0,4570.0,2930.0,88.4,–,–,–,70800.0,68500.0,–,66500,389.0,–,–,3790.0,10200.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105.0,709,2540,2920,,2.96,17.3,NS,NS,C,C,2950
W,W27X336,W690X500,500.0,64000,762,762,–,–,–,371,368,–,–,–,32.0,31.8,15.9,57.9,57.2,–,–,–,78.0,81.0,36.5,–,–,–,–,–,3.19,–,18.9,–,–,6080.0,18500.0,15900.0,307.0,491.0,4130.0,2650.0,87.6,–,–,–,54500.0,60700.0,–,65200,350.0,–,–,3460.0,9230.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,104.0,704,2540,2920,,3.19,18.9,NS,NS,C,C,2950
W,W27X307,W690X457,457.0,58200,752,752,–,–,–,366,368,–,–,–,29.5,30.2,15.9,53.1,52.4,–,–,–,73.2,76.2,36.5,–,–,–,–,–,3.46,–,20.6,–,–,5450.0,16900.0,14500.0,305.0,437.0,3720.0,2390.0,86.6,–,–,–,42000.0,53400.0,–,63900,310.0,–,–,3110.0,8320.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,103.0,698,2500,2870,,3.46,20.6,NS,NS,C,C,2950
W,W27X281,W690X419,419.0,53600,744,743,–,–,–,366,365,–,–,–,26.9,27.0,14.3,49.0,49.2,–,–,–,69.1,71.4,34.9,–,–,–,–,–,3.72,–,22.5,–,–,4950.0,15300.0,13300.0,305.0,397.0,3380.0,2180.0,86.1,–,–,–,33100.0,47800.0,–,63500,285.0,–,–,2880.0,7640.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,102.0,696,2500,2870,,3.72,22.5,NS,NS,C,C,2950
W,W27X258,W690X384,384.0,49100,737,737,–,–,–,363,362,–,–,–,24.9,25.4,12.7,45.0,44.4,–,–,–,65.0,68.3,33.3,–,–,–,–,–,4.03,–,24.4,–,–,4500.0,14000.0,12200.0,302.0,358.0,3060.0,1970.0,85.3,–,–,–,25600.0,42700.0,–,62800,256.0,–,–,2620.0,6950.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,101.0,691,2480,2840,,4.03,24.4,NS,NS,C,C,2950
W,W27X235,W690X350,350.0,44800,729,727,–,–,–,361,362,–,–,–,23.1,23.8,12.7,40.9,41.3,–,–,–,61.0,63.5,33.3,–,–,–,–,–,4.41,–,26.2,–,–,4040.0,12700.0,11100.0,300.0,320.0,2750.0,1770.0,84.6,–,–,–,19600.0,37900.0,–,62100,229.0,–,–,2380.0,6290.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,99.6,688,2460,2820,,4.41,26.2,NS,NS,C,C,2950
W,W27X217,W690X323,323.0,41200,721,721,–,–,–,358,359,–,–,–,21.1,20.6,11.1,38.1,38.1,–,–,–,58.2,60.3,31.8,–,–,–,–,–,4.71,–,28.7,–,–,3710.0,11700.0,10300.0,300.0,293.0,2520.0,1640.0,84.3,–,–,–,15700.0,34400.0,–,61200,209.0,–,–,2200.0,5750.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,98.8,683,2440,2790,,4.71,28.7,NS,NS,C,C,2950
W,W27X194,W690X289,289.0,36800,714,714,–,–,–,356,356,–,–,–,19.1,19.0,9.52,34.0,33.3,–,–,–,54.1,57.2,30.2,–,–,–,–,–,5.24,–,31.8,–,–,3270.0,10300.0,9160.0,297.0,258.0,2230.0,1440.0,83.6,–,–,–,11300.0,29800.0,–,60500,183.0,–,–,1950.0,5110.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,97.8,681,2410,2770,,5.24,31.8,NS,NS,C,C,2950
W,W27X178,W690X265,265.0,33900,706,705,–,–,–,358,359,–,–,–,18.4,19.0,9.52,30.2,30.2,–,–,–,50.3,52.4,30.2,–,–,–,–,–,5.92,–,32.9,–,–,2920.0,9340.0,8280.0,295.0,231.0,2000.0,1290.0,82.6,–,–,–,8370.0,26400.0,–,60500,164.0,–,–,1740.0,4620.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,97.3,676,2410,2770,,5.92,32.9,NS,NS,C,C,2950
W,W27X161,W690X240,240.0,30700,701,702,–,–,–,356,356,–,–,–,16.8,17.5,9.52,27.4,27.0,–,–,–,47.5,50.8,30.2,–,–,–,–,–,6.49,–,36.1,–,–,2630.0,8440.0,7510.0,292.0,207.0,1790.0,1160.0,82.0,–,–,–,6290.0,23400.0,–,59900,146.0,–,–,1560.0,4160.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,96.3,673,2410,2770,,6.49,36.1,NS,S,C,C,2950
W,W27X146,W690X217,217.0,27900,696,695,–,–,–,356,356,–,–,–,15.4,15.9,7.94,24.8,25.4,–,–,–,44.7,47.6,28.6,–,–,–,–,–,7.16,–,39.4,–,–,2360.0,7600.0,6780.0,292.0,184.0,1600.0,1040.0,81.3,–,–,–,4700.0,20700.0,–,59700,132.0,–,–,1410.0,3750.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,95.5,671,2390,2740,,7.16,39.4,NS,S,C,C,2950
W,W27X129,W690X192,192.0,24400,701,702,–,–,–,254,254,–,–,–,15.5,15.9,7.94,27.9,28.6,–,–,–,43.2,50.8,28.6,–,–,–,–,–,4.55,–,39.7,–,–,1980.0,6470.0,5650.0,284.0,76.6,944.0,603.0,56.1,–,–,–,4620.0,8730.0,–,42800,75.8,–,–,1120.0,3200.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,67.6,673,2110,2360,,4.55,39.7,NS,S,C,C,2950
W,W27X114,W690X170,170.0,21700,693,692,–,–,–,257,257,–,–,–,14.5,14.3,7.94,23.6,23.8,–,–,–,38.9,46.0,28.6,–,–,–,–,–,5.41,–,42.5,–,–,1700.0,5620.0,4900.0,279.0,66.2,808.0,516.0,55.4,–,–,–,3050.0,7410.0,–,43000,64.9,–,–,957.0,2790.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,67.3,671,2100,2360,,5.41,42.5,NS,S,C,C,2950
W,W27X102,W690X152,152.0,19400,688,689,–,–,–,254,254,–,–,–,13.1,12.7,6.35,21.1,20.6,–,–,–,36.3,44.5,27.0,–,–,–,–,–,6.03,–,47.1,–,–,1510.0,5000.0,4380.0,279.0,57.9,711.0,456.0,54.6,–,–,–,2200.0,6440.0,–,42400,56.6,–,–,847.0,2470.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,66.5,668,2090,2340,,6.03,47.1,NS,S,C,C,2950
W,W27X94,W690X140,140.0,17800,683,683,–,–,–,254,254,–,–,–,12.4,12.7,6.35,18.9,19.0,–,–,–,34.0,41.3,27.0,–,–,–,–,–,6.7,–,49.5,–,–,1360.0,4560.0,3980.0,277.0,51.6,636.0,406.0,53.8,–,–,–,1680.0,5720.0,–,42200,50.8,–,–,759.0,2250.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,65.8,665,2080,2330,,6.7,49.5,NS,S,C,C,2950
W,W27X84,W690X125,125.0,15900,678,679,–,–,–,254,254,–,–,–,11.7,11.1,6.35,16.3,15.9,–,–,–,31.5,39.7,27.0,–,–,–,–,–,7.78,–,52.7,–,–,1190.0,4000.0,3490.0,272.0,44.1,544.0,347.0,52.6,–,–,–,1170.0,4810.0,–,42100,43.3,–,–,652.0,1980.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,64.5,663,2070,2320,,7.78,52.7,NS,S,C,C,2950
W,W24X370,W610X551,551.0,70300,711,711,–,–,–,348,346,–,–,–,38.6,38.1,19.0,69.1,69.8,–,–,–,81.8,92.1,39.7,–,–,–,–,–,2.51,–,14.2,–,–,5580.0,18500.0,15700.0,282.0,483.0,4380.0,2790.0,83.1,–,–,–,83700.0,49900.0,–,55900,336.0,–,–,3420.0,9310.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,99.6,643,2370,2720,,2.51,14.2,NS,NS,C,C,2950
W,W24X335,W610X498,498.0,63400,699,698,–,–,–,343,343,–,–,–,35.1,34.9,17.5,63.0,63.5,–,–,–,75.7,85.7,38.1,–,–,–,–,–,2.73,–,15.6,–,–,4950.0,16700.0,14200.0,279.0,429.0,3900.0,2490.0,82.0,–,–,–,63300.0,43200.0,–,54500,294.0,–,–,3080.0,8290.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,98.0,635,2320,2670,,2.73,15.6,NS,NS,C,C,2950
W,W24X306,W610X455,455.0,57900,688,689,–,–,–,340,340,–,–,–,32.0,31.8,15.9,57.9,57.2,–,–,–,70.6,81.0,36.5,–,–,–,–,–,2.94,–,17.1,–,–,4450.0,15100.0,12900.0,277.0,383.0,3510.0,2250.0,81.3,–,–,–,48700.0,38100.0,–,53600,264.0,–,–,2820.0,7520.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,96.8,630,2300,2640,,2.94,17.1,NS,NS,C,C,2950
W,W24X279,W610X415,415.0,52800,678,679,–,–,–,338,337,–,–,–,29.5,30.2,15.9,53.1,52.4,–,–,–,65.8,76.2,36.5,–,–,–,–,–,3.18,–,18.6,–,–,4000.0,13700.0,11800.0,274.0,343.0,3160.0,2030.0,80.5,–,–,–,37700.0,33600.0,–,52800,237.0,–,–,2560.0,6820.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,95.5,625,2280,2620,,3.18,18.6,NS,NS,C,C,2950
W,W24X250,W610X372,372.0,47400,668,670,–,–,–,335,333,–,–,–,26.4,27.0,14.3,48.0,47.6,–,–,–,60.7,71.4,34.9,–,–,–,–,–,3.49,–,20.7,–,–,3530.0,12200.0,10600.0,272.0,301.0,2800.0,1800.0,79.8,–,–,–,27700.0,29000.0,–,52000,209.0,–,–,2290.0,6060.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,94.2,620,2260,2590,,3.49,20.7,NS,NS,C,C,2950
W,W24X229,W610X341,341.0,43400,660,660,–,–,–,333,333,–,–,–,24.4,23.8,12.7,43.9,44.4,–,–,–,56.6,66.7,33.3,–,–,–,–,–,3.79,–,22.5,–,–,3180.0,11100.0,9640.0,272.0,271.0,2520.0,1630.0,79.0,–,–,–,21400.0,25800.0,–,51300,187.0,–,–,2080.0,5510.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,93.2,617,2260,2590,,3.79,22.5,NS,NS,C,C,2950
W,W24X207,W610X307,307.0,39200,653,654,–,–,–,330,330,–,–,–,22.1,22.2,11.1,39.9,39.7,–,–,–,52.6,63.5,31.8,–,–,–,–,–,4.14,–,24.8,–,–,2840.0,9930.0,8700.0,269.0,241.0,2250.0,1460.0,78.2,–,–,–,15900.0,22600.0,–,50600,166.0,–,–,1880.0,4950.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,91.9,612,2240,2570,,4.14,24.8,NS,NS,C,C,2950
