Type,AISC_Manual_Label [Imperial],AISC_Manual_Label [metric],W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,h/tw.1,D/t.1,Ix / 107,Zx / 104,Sx / 104,rx.1,Iy / 107,Zy / 104,Sy / 104,b/tdes,h/tdes.1,Compression,Flange Flexure,Web Flexure,unit_price
HSS,HSS12X12X3/8,HSS304.8X304.8X9.5,86.3,10300,–,–,305.0,279.0,–,–,–,305.0,279.0,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,31.5,–,149.0,1130.0,975.0,120.0,149.0,1130.0,975.0,120.0,–,–,–,234000,–,1550.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,567.5714286,561.8095238,556.047619,550.2857142999999,544.5238095,538.7619047999999,533.0,31.5,32.5,NS,NC,C,2950
HSS,HSS12X12X5/16,HSS304.8X304.8X7.9,72.6,8650,–,–,305.0,282.0,–,–,–,305.0,282.0,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,38.1,–,127.0,960.0,831.0,121.0,127.0,960.0,831.0,121.0,–,–,–,197000,–,1310.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,494.0,490.5,487.0,483.5,480.0,476.5,473.0,38.1,39.1,S,S,C,2950
HSS,HSS12X12X1/4,HSS304.8X304.8X6.4,58.6,6970,–,–,305.0,287.0,–,–,–,305.0,287.0,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,48.5,–,103.0,780.0,678.0,122.0,103.0,780.0,678.0,122.0,–,–,–,160000,–,1060.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,415.92857139999995,414.85714289999993,413.7857143,412.7142857,411.64285710000007,410.57142860000005,409.5,48.5,49.5,S,S,C,2950
HSS,HSS12X12X3/16,HSS304.8X304.8X4.8,44.4,5260,–,–,305.0,292.0,–,–,–,305.0,292.0,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,–,66.1,–,78.7,590.0,516.0,122.0,78.7,590.0,516.0,122.0,–,–,–,121000,–,796.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,332.7,333.9952381,335.3261905,336.65714289999994,337.98809520000003,339.31904760000003,340.65,66.1,67.1,S,S,NC,2950
HSS,HSS10X10X5/8,HSS254X254X15.9,113.0,13500,–,–,254.0,210.0,–,–,–,254.0,210.0,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,14.2,–,127.0,1200.0,996.0,96.5,127.0,1200.0,996.0,96.5,–,–,–,207000,–,1670.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,573.2142857000001,566.1785714,559.1428571,552.1,545.0714286,538.0357142999999,531.0,14.2,15.2,NS,C,C,2950
HSS,HSS10X10X1/2,HSS254X254X12.7,92.7,11100,–,–,254.0,218.0,–,–,–,254.0,218.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,18.5,–,107.0,995.0,839.0,98.0,107.0,995.0,839.0,98.0,–,–,–,171000,–,1380.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,490.14285710000007,485.7857143,481.42857139999995,477.1,472.7142857,468.35714289999993,464.0,18.5,19.5,NS,C,C,2950
HSS,HSS10X10X3/8,HSS254X254X9.5,71.2,8520,–,–,254.0,227.0,–,–,–,254.0,227.0,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,25.6,–,84.1,773.0,662.0,99.6,84.1,773.0,662.0,99.6,–,–,–,133000,–,1060.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,397.8,396.22857139999996,394.6928571,393.15714289999994,391.62142860000006,390.0857143,388.55,25.6,26.6,NS,C,C,2950
HSS,HSS10X10X5/16,HSS254X254X7.9,60.0,7160,–,–,254.0,232.0,–,–,–,254.0,232.0,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,31.4,–,71.6,657.0,565.0,100.0,71.6,657.0,565.0,100.0,–,–,–,113000,–,898.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,347.7,347.5095238,347.347619,347.18571430000003,347.0238095,346.8619048,346.7,31.4,32.4,NS,NC,C,2950
HSS,HSS10X10X1/4,HSS254X254X6.4,48.5,5780,–,–,254.0,236.0,–,–,–,254.0,236.0,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,39.9,–,58.7,536.0,464.0,101.0,58.7,536.0,464.0,101.0,–,–,–,91600,–,728.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,295.8,297.1142857,298.4214286,299.72857139999996,301.0357143,302.34285710000006,303.65,39.9,40.9,S,S,C,2950
HSS,HSS10X10X3/16,HSS254X254X4.8,36.8,4360,–,–,254.0,241.0,–,–,–,254.0,241.0,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,–,54.5,–,45.0,406.0,354.0,102.0,45.0,406.0,354.0,102.0,–,–,–,69500,–,551.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,239.5,242.33333330000002,245.16666669999998,248.0,250.8,253.66666669999998,256.5,54.5,55.5,S,S,C,2950
